doc_id	genre	t_span	t_entity_text	t_entity_type	t_infostat	t_coref_type	t_head_form	t_head_lemma	t_head_deprel	t_head_xpos	t_head_number	t_sent_id	t_head_sent_id	t_head_doc_position	n_span	n_entity_text	n_entity_type	n_infostat	n_coref_type	n_head_form	n_head_lemma	n_head_deprel	n_head_xpos	n_head_number	n_sent_id	n_head_sent_id	n_head_doc_position	t_n_entity_type	t_n_head_lemma	t_n_head_deprel	t_n_head_xpos	t_n_head_number	t_n_dist	coref	bridge	bridge_type
wsjarrau_1154	wsjarrau	['58-5', '58-6', '58-7', '58-8', '58-9', '58-10', '58-11', '58-12', '58-13', '58-14', '58-15', '58-16', '58-17', '58-18', '58-19']	investors who demand the delivery of their securities when they buy shares or domestic bonds	person	new	coref	investors	investor	nsubj	NNS	Plur	58	5	1463	['59-11', '59-12']	small investors	person	new	coref	investors	investor	obj	NNS	Plur	59	12	1515	person_person	investor_investor	nsubj_obj	NNS_NNS	Plur_Plur	52	0	1	bridge:subset
vpc_0765	vpc	['68-19', '68-20', '68-21']	Mr. Dinkins `s	person	old	coref	Mr.	Mr.	nmod:poss	NNP	Sing	68	19	2240	['73-6', '73-7']	Mr. Dinkins	person	old	coref	Mr.	Mr.	obl	NNP	Sing	73	6	2414	person_person	Mr._Mr.	nmod:poss_obl	NNP_NNP	Sing_Sing	174	1	0	
wsjarrau_1142	wsjarrau	['1-10', '1-11', '1-12']	a selling stampede	abstract	new	coref	stampede	stampede	obl	NN	Sing	1	12	12	['2-7', '2-8', '2-9', '2-10', '2-11', '2-12', '2-13']	the mostly computer-driven sell-off among exchange-listed stocks	abstract	old	coref	sell-off	sell-off	nmod	NN	Sing	2	10	29	abstract_abstract	stampede_sell-off	obl_nmod	NN_NN	Sing_Sing	17	1	0	
wsjarrau_1396	wsjarrau	['13-5']	he	person	old	coref	he	he	nsubj	PRP	Sing	13	5	311	['15-8']	his	person	old	coref	his	his	nmod:poss	PRP$	Sing	15	8	354	person_person	he_his	nsubj_nmod:poss	PRP_PRP$	Sing_Sing	43	1	0	
wsjarrau_1330	wsjarrau	['19-19', '19-20', '19-21', '19-22', '19-23', '19-24', '19-25', '19-26', '19-27', '19-28']	a large real estate portfolio heavily weighted with California properties	abstract	new	coref	portfolio	portfolio	obl	NN	Sing	19	23	515	['25-36', '25-37']	its portfolio	abstract	old	coref	portfolio	portfolio	obl	NN	Sing	25	37	730	abstract_abstract	portfolio_portfolio	obl_obl	NN_NN	Sing_Sing	215	1	0	
wsjarrau_1303	wsjarrau	['1-1', '1-2', '1-3', '1-4', '1-5']	Japan 's Daiwa Securities Co.	organization	new	coref	Securities	Securities	nsubj	NNPS	Plur	1	4	4	['13-12']	Daiwa	organization	old	coref	Daiwa	Daiwa	nmod	NNP	Sing	13	12	260	organization_organization	Securities_Daiwa	nsubj_nmod	NNPS_NNP	Plur_Sing	256	1	0	
wsjarrau_1322	wsjarrau	['8-51', '8-52', '8-53', '8-54', '8-55', '8-56', '8-57']	bonds , '' which are considered safer	abstract	old	coref	bonds	bond	obl	NNS	Plur	8	51	203	['11-3', '11-4', '11-5', '11-6', '11-7']	high-yield , high-risk corporate securities	abstract	new	coref	securities	security	nmod	NNS	Plur	11	7	268	abstract_abstract	bond_security	obl_nmod	NNS_NNS	Plur_Plur	65	0	1	bridge:subset
wsjarrau_0671	wsjarrau	['34-1']	They	person	old	coref	They	they	nsubj	PRP	Plur	34	1	917	['36-15', '36-16', '36-17', '36-18', '36-19']	an `` excellent buying opportunity	none	new	sgl	opportunity	opportunity	obj	NN	Sing	36	19	974	person_none	they_opportunity	nsubj_obj	PRP_NN	Plur_Sing	57	0	0	
wsjarrau_1314	wsjarrau	['37-13']	junk-bond	abstract	old	coref	junk-bond	junk-bond	nmod	NN	Sing	37	13	1088	['38-5', '38-6']	37 7/8	abstract	new	sgl	37	@card@	obl	CD		38	5	1103	abstract_abstract	junk-bond_@card@	nmod_obl	NN_CD	Sing_N/A	15	0	0	
wsjarrau_0618	wsjarrau	['6-30']	dealer	organization	old	coref	dealer	dealer	compound	NN	Sing	6	30	197	['9-9', '9-10']	the dealer	organization	new	coref	dealer	dealer	obl	NN	Sing	9	10	240	organization_organization	dealer_dealer	compound_obl	NN_NN	Sing_Sing	43	0	1	bridge:unmarked
